id,year,inertia_factor,inertia_loss_percent,deflection_total_mm,deflection_ratio,frequency_hz,frequency_drop_percent
BR-001,0.0,1.0,0.0,12.260472341785041,1.0,5.27850426210783,0.0
BR-001,0.08333333333333333,0.9977910406289315,0.2208959371068464,12.287615184494914,1.0022138496750543,5.272671038260788,0.1105090297817221
BR-001,0.16666666666666666,0.9957647857892943,0.4235214210705718,12.312618920407754,1.0042532275404261,5.267314603755771,0.21198539958345494
BR-001,0.25,0.9937836679468287,0.6216332053171292,12.337164251366046,1.0062552165563499,5.262072217918332,0.31130114467192993
BR-001,0.3333333333333333,0.9916434204249598,0.8356579575040213,12.363791348034079,1.008427000475089,5.256402871782074,0.41870555044188124
BR-001,0.41666666666666663,0.9893744326968423,1.0625567303157668,12.392145922313128,1.010739682522616,5.250385817877232,0.5326971966746091
BR-001,0.5,0.9874985607333618,1.250143926663816,12.415686289891756,1.0126597037846354,5.24540604270116,0.6270378456311706
BR-001,0.5833333333333333,0.9852701922687571,1.4729807731242883,12.443766631722772,1.0149500186312597,5.2394843637021395,0.7392226370981333
BR-001,0.6666666666666666,0.9831159624091487,1.688403759085133,12.47103374432093,1.0171740041220332,5.23375333169087,0.847795667007568
BR-001,0.75,0.9805113051200823,1.9488694879917667,12.504162142509426,1.0198760532164706,5.226815607416429,0.979229193058576
BR-001,0.8333333333333333,0.9783946982515795,2.160530174842046,12.531212979480436,1.022082398634242,5.221171057154001,1.0861638469329429
BR-001,0.9166666666666666,0.976445545006241,2.3554454993758966,12.556227435813305,1.0241226508884407,5.21596766829773,1.1847408035458897
BR-001,1.0,0.9735575403131956,2.6442459686804365,12.593474791269983,1.0271606541902984,5.208248398093447,1.3309805301990663
BR-001,1.0833333333333333,0.9721969742194074,2.780302578059257,12.611099053902294,1.0285981406215712,5.204607810156376,1.3999505974055206
BR-001,1.1666666666666665,0.9696269883773848,3.0373011622615187,12.644524635501574,1.031324428864591,5.197724112666911,1.5303605989447784
BR-001,1.25,0.9671944449501215,3.2805555049878476,12.676326260762712,1.033918262476756,5.1912001453689465,1.653955598096294
BR-001,1.3333333333333333,0.9654882243013193,3.451177569868069,12.698727993971543,1.0357454133877761,5.186619245083211,1.7407396577137109
BR-001,1.4166666666666665,0.9629318416729957,3.7068158327004275,12.732440460670324,1.038495100818976,5.179748228275807,1.8709094267660522
BR-001,1.5,0.9606709502619766,3.9329049738023425,12.762405627485236,1.0409391475065404,5.173663825464248,1.9861769819186763
BR-001,1.5833333333333333,0.9587043563882636,4.129564361173643,12.788585198438065,1.0430744299184262,5.1683655971886795,2.0865506486333683
BR-001,1.6666666666666665,0.9570350098057837,4.2964990194216295,12.810892199516426,1.0448938541996864,5.1638639213306075,2.1718338204285996
BR-001,1.75,0.9547148164646176,4.528518353538235,12.842025838864126,1.0474332049261337,5.157600601270162,2.2904909200431085
BR-001,1.8333333333333333,0.9528806420571203,4.711935794287969,12.866745110191975,1.0494493810275718,5.152643892322391,2.3843945848246797
BR-001,1.9166666666666665,0.9513041434208921,4.8695856579107915,12.888067845154497,1.0511885256843279,5.148379717810603,2.4651783504531153
BR-001,2.0,0.949344157606462,5.065584239353804,12.914676140944303,1.0533587761484249,5.143073342254627,2.5657063654453323
BR-001,2.083333333333333,0.9474289457002585,5.2571054299741515,12.94078294464937,1.0554881234506566,5.137882891491057,2.6640382129883844
BR-001,2.1666666666666665,0.9453194410725603,5.468055892743973,12.969660634371698,1.057843472324444,5.132159809257039,2.772460636270336
BR-001,2.25,0.9433055847848291,5.6694415215170935,12.99734946929387,1.0601018547219807,5.126690259900645,2.8760799398608907
BR-001,2.333333333333333,0.9407815379074566,5.921846209254344,13.03222039099059,1.062946029132609,5.119826803139702,3.006106485642293
BR-001,2.4166666666666665,0.9384514620807621,6.154853791923786,13.06457801728047,1.0655852118156124,5.1134826201462005,3.1262955141715265
BR-001,2.5,0.9364505062293723,6.354949377062768,13.092493687842573,1.0678620955916935,5.108028255553722,3.2296271460437005
BR-001,2.583333333333333,0.9347266066097853,6.527339339021465,13.116639940584621,1.0698315346205436,5.103324438197585,3.31873984014351
BR-001,2.6666666666666665,0.932230055901748,6.776994409825199,13.1517668457122,1.0726965877888348,5.096504675722294,3.447938608140104
BR-001,2.75,0.9298889912346797,7.011100876532028,13.184877396500779,1.0753971811971113,5.090101349119221,3.5692480981984738
BR-001,2.833333333333333,0.9268649784246825,7.313502157531748,13.227894706544175,1.078905798878731,5.08181806670371,3.726172901214609
BR-001,2.9166666666666665,0.9247290116865712,7.527098831342882,13.258448893502024,1.0813978877727057,5.07595914687694,3.8371687351827455
BR-001,3.0,0.922093212928346,7.7906787071654,13.296348102214887,1.084489058133549,5.068719861581042,3.9743152626160194
BR-001,3.083333333333333,0.9198961826228943,8.01038173771057,13.328104381112695,1.087079193163631,5.06267775418106,4.088781541318414
BR-001,3.1666666666666665,0.9178409624894847,8.215903751051535,13.357948536673097,1.089513369819182,5.057019107270643,4.195983252815312
